s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
1,3,2,20,0.000000,1,3,2,0
2,3,2,26,0.771608,2,3,2,0
3,4,3,26,1.410601,3,4,3,0
4,3,4,26,0.000000,4,3,4,0
5,4,5,4,1.409295,5,4,5,0
6,5,6,5,1.407125,6,5,6,0
7,6,7,12,1.403124,7,6,7,0
6,6,7,23,-0.656854,6,6,7,0
5,6,8,14,-0.746270,5,6,8,0
5,6,7,9,0.000000,5,6,7,0
6,6,8,15,0.746270,6,6,8,0
6,6,9,26,0.000000,6,6,9,0
6,5,8,18,-0.746270,6,5,8,0
6,6,7,15,0.746270,6,6,7,0
7,7,8,24,1.414214,7,7,8,0
8,6,7,9,-0.229495,8,6,7,0
8,7,6,2,0.866585,8,7,6,0
9,8,5,15,1.369483,9,8,5,0
9,7,4,17,-0.926210,9,7,4,0
8,6,5,4,-1.309858,8,6,5,0
8,7,4,26,0.866585,8,7,4,0
8,8,5,26,0.777124,8,8,5,0
7,8,5,26,-0.777124,7,8,5,0
8,9,6,26,1.369483,8,9,6,0
9,10,7,15,1.236068,9,10,7,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,21,10.000000,0,0,0,1
0,0,0,14,10.000000,0,0,0,1
0,0,0,26,0.000000,0,0,0,0
1,1,1,11,1.414214,1,1,1,0
0,0,0,5,-1.414214,0,0,0,0
1,0,0,15,0.688512,1,0,0,0
0,0,0,7,-0.688512,0,0,0,0
0,0,1,19,0.000000,0,0,1,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
1,0,2,17,-0.725702,1,0,2,0
0,0,3,26,-0.688512,0,0,3,0
0,1,2,17,0.688512,0,1,2,0
0,2,2,26,0.647376,0,2,2,0
1,1,2,26,0.078326,1,1,2,0
2,2,3,25,1.414214,2,2,3,0
3,3,4,7,1.414214,3,3,4,0
3,4,5,26,0.679950,3,4,5,0
4,5,6,14,1.409295,4,5,6,0
4,6,7,15,0.599147,4,6,7,0
5,7,8,26,1.380151,5,7,8,0
6,8,9,3,1.358816,6,8,9,0
7,9,9,15,1.309858,7,9,9,0
6,10,9,13,-0.837722,6,10,9,0
7,10,10,20,1.000000,7,10,10,0
7,10,10,9,0.000000,7,10,10,0
7,10,9,1,0.000000,7,10,9,0
8,10,10,26,1.000000,8,10,10,0
7,10,9,9,-1.000000,7,10,9,0
7,10,8,26,0.000000,7,10,8,0
7,10,8,26,0.000000,7,10,8,0
8,9,9,15,0.763932,8,9,9,0
8,8,8,12,-0.592359,8,8,8,0
7,7,8,18,-1.414214,7,7,8,0
8,8,9,17,1.414214,8,8,9,0
8,7,8,21,-0.777124,8,7,8,0
9,8,9,26,1.369483,9,8,9,0
10,9,10,15,1.236068,10,9,10,0
0,0,0,4,10.000000,0,0,0,1
0,0,0,25,10.000000,0,0,0,1
10,9,7,26,13.142136,10,9,7,0
0,0,0,7,10.000000,0,0,0,1
0,0,0,15,10.000000,0,0,0,1
0,0,0,5,10.000000,0,0,0,1
0,0,0,23,10.000000,0,0,0,1
9,10,7,25,13.142136,9,10,7,0
0,0,0,24,-13.142136,0,0,0,0
1,1,0,25,1.414214,1,1,0,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,2,1.414214,1,1,1,0
0,2,1,26,-0.078326,0,2,1,0
0,0,0,26,-1.335887,0,0,0,0
0,1,0,26,0.688512,0,1,0,0
0,0,0,25,-0.688512,0,0,0,0
0,0,1,24,0.000000,0,0,1,0
0,0,0,6,0.000000,0,0,0,0
1,0,1,7,0.688512,1,0,1,0
0,0,0,7,-0.688512,0,0,0,0
1,1,0,26,1.414214,1,1,0,0
2,2,0,26,1.414214,2,2,0,0
3,3,0,26,1.414214,3,3,0,0
4,4,1,26,1.414214,4,4,1,0
3,3,2,9,-1.414214,3,3,2,0
4,4,3,10,1.414214,4,4,3,0
5,5,4,26,1.414214,5,5,4,0
6,6,5,15,1.414214,6,6,5,0
7,7,5,25,1.414214,7,7,5,0
8,8,4,26,1.414214,8,8,4,0
7,9,3,8,-0.333851,7,9,3,0
6,10,3,26,-0.837722,6,10,3,0
5,10,3,11,-1.000000,5,10,3,0
6,10,4,11,1.000000,6,10,4,0
7,10,5,26,1.000000,7,10,5,0
8,10,6,26,1.000000,8,10,6,0
9,10,7,21,1.000000,9,10,7,0
9,9,6,11,-0.414214,9,9,6,0
9,8,6,26,-0.821854,9,8,6,0
10,9,7,11,1.236068,10,9,7,0
0,0,0,19,10.000000,0,0,0,1
0,0,0,3,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
9,10,8,26,13.142136,9,10,8,0
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
10,8,10,8,-1.000000,10,8,10,0
